seqname,tax_id
A00000148,f__Methanosarcinaceae
A00001942,g__Methanocella
A00001943,f__Methanomicrobiaceae
A00001940,f__Methanosarcinaceae
A00001941,f__Halobacteriaceae
A00001946,c__Crenarchaeota
A00001947,g__Methanocaldococcus
A00001944,f__Thermococcaceae
A00001945,f__Thermoplasmataceae
A00000145n0,f__Entomoplasmataceae
A00000145n1,f__Entomoplasmataceae
A00000144,f__Hyphomonadaceae
A00001948,o__Thermoplasmatales
A00001949,f__Halobacteriaceae
A00000417,g__Marinobacter
A00000416,c__Alphaproteobacteria
A00000143,f__Pasteurellaceae
A00000142,g__Magnetospirillum
A00000389,g__Arthrobacter
A00000388,g__Arthrobacter
A00000412,g__Leptospira
A00000387,g__Aeromonas
A00000147,f__Phyllobacteriaceae
A00000385,f__Comamonadaceae
A00000384,c__Actinobacteria
A00000897,f__Acidimicrobiaceae
A00000896,g__Acetobacter
A00000895,g__Wolbachia
A00000146,g__Mesorhizobium
A00000892,f__Aeromonadaceae
A00000891,f__Rhodocyclaceae
A00000890,g__Sulfurihydrogenibium
A00004138,g__Serratia
A00001368,g__Thermus
A00001380,f__Bacteriovoracaceae
A00003450,g__Methylosinus
A00000899,g__Aggregatibacter
A00000898,f__Pseudonocardiaceae
A00003598,g__Bacillus
A00000415,g__Listeria
A00004390,g__Ruminococcuse1
A00004391,g__Lactobacillus
A00004392,g__Flavobacterium
A00000414,g__Leuconostoc
A00004395,f__Pseudomonadaceae
A00004396,g__Atopobium
A00004397,g__Streptococcus
A00000790,g__Coxiella
A00003987,g__Corynebacterium
A00003593,g__Actinomyces
A00000569,o__[Nitratiruptorales]
A00000568,g__Methanococcus
A00000566,g__Methanococcus
A00000565,g__Marinomonas
A00000563,c__Actinobacteria
A00000562,g__Herminiimonas
A00000561,f__Desulfurococcaceae
A00000560,g__Francisella
A00004400,f__[Barnesiellaceae]
A00000969,g__Paenibacillus
A00000968,g__Neorickettsia
A00000796,g__Desulfitobacterium
A00004407n0,g__Paenibacillus
