tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
s__Arenibacter_latericius,g__Arenibacter,species,s__Arenibacter_latericius,Root,d__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Arenibacter,s__Arenibacter_latericius
s__[Eubacterium]_hallii,g__Eubacterium,species,s__[Eubacterium]_hallii,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,s__[Eubacterium]_hallii
s__Acidovorax_sp._JHL-9,g__Acidovorax,species,s__Acidovorax_sp._JHL-9,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_sp._JHL-9
g__Flexibacter,f__Cytophagaceae,genus,g__Flexibacter,Root,d__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Flexibacter,
s__Flexibacter_elegans,g__Flexibacter,species,s__Flexibacter_elegans,Root,d__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Flexibacter,s__Flexibacter_elegans
g__Eikenella,f__Neisseriaceae,genus,g__Eikenella,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Eikenella,
s__Eikenella_corrodens,g__Eikenella,species,s__Eikenella_corrodens,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Eikenella,s__Eikenella_corrodens
g__Thauera,f__Rhodocyclaceae,genus,g__Thauera,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Thauera,
s__Thauera_sp._27,g__Thauera,species,s__Thauera_sp._27,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Thauera,s__Thauera_sp._27
s__Mycobacterium_sp._VKM_Ac-1816D,g__Mycobacterium,species,s__Mycobacterium_sp._VKM_Ac-1816D,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium_sp._VKM_Ac-1816D
s__Lactobacillus_sp._ASF360,g__Lactobacillus,species,s__Lactobacillus_sp._ASF360,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_sp._ASF360
s__Parabacteroides_sp._ASF519,g__Parabacteroides,species,s__Parabacteroides_sp._ASF519,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Parabacteroides,s__Parabacteroides_sp._ASF519
s__Clostridium_sp._ASF356,g__Clostridium,species,s__Clostridium_sp._ASF356,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium_sp._ASF356
